policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,auto_make,auto_model,fraud_reported
IN,500/1000,FEMALE,Associate,machine-op-inspct,board-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,3,NO,0,1,NO,Jeep,Wrangler,N
IN,250/500,MALE,Associate,tech-support,paintball,husband,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,3,YES,1,2,NO,Saab,93,N
OH,100/300,MALE,PhD,prof-specialty,cross-fit,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,1,NO,1,0,NO,BMW,M5,Y
IL,100/300,FEMALE,JD,armed-forces,exercise,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,3796 Cherokee Drive,3,NO,0,1,YES,Nissan,Pathfinder,Y
IL,100/300,FEMALE,College,other-service,sleeping,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,3,YES,2,1,YES,BMW,X6,N
OH,250/500,FEMALE,JD,craft-repair,movies,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,3,NO,1,3,NO,Nissan,Ultima,N
IN,100/300,FEMALE,Associate,craft-repair,cross-fit,wife,Vehicle Theft,Front Collision,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,1,NO,2,1,NO,Chevrolet,Malibu,Y
OH,250/500,FEMALE,PhD,transport-moving,video-games,not-in-family,Vehicle Theft,Rear Collision,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,1,YES,0,0,YES,Jeep,Grand Cherokee,N
OH,250/500,MALE,PhD,tech-support,sleeping,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,1,NO,0,2,NO,BMW,X5,Y
OH,250/500,FEMALE,MD,priv-house-serv,basketball,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,3,NO,1,3,YES,Ford,Escape,N
IL,500/1000,FEMALE,High School,adm-clerical,kayaking,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,1,YES,0,1,NO,Accura,MDX,N
IN,100/300,MALE,JD,priv-house-serv,hiking,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,3,YES,2,0,NO,Suburu,Forrestor,N
OH,100/300,FEMALE,Associate,transport-moving,golf,not-in-family,Vehicle Theft,Rear Collision,Trivial Damage,None,SC,Riverwood,5901 Elm Drive,1,NO,1,0,NO,Toyota,Camry,N
IN,250/500,FEMALE,JD,handlers-cleaners,movies,husband,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,1,YES,1,2,YES,Ford,Escape,Y
IN,500/1000,FEMALE,College,sales,hiking,own-child,Parked Car,Rear Collision,Minor Damage,Police,VA,Northbrook,3376 5th Drive,1,NO,0,2,NO,BMW,3 Series,N
OH,100/300,MALE,Associate,machine-op-inspct,kayaking,wife,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,1,YES,0,1,NO,Chevrolet,Malibu,N
IL,250/500,MALE,College,protective-serv,golf,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,3,NO,0,2,NO,BMW,X5,N
IL,250/500,FEMALE,High School,handlers-cleaners,polo,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,3,YES,1,0,NO,BMW,X6,Y
IL,500/1000,MALE,High School,sales,dancing,wife,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,1,YES,2,2,NO,Mercedes,ML350,N
IN,250/500,MALE,High School,exec-managerial,golf,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,4,NO,1,2,YES,Honda,Civic,Y
IN,250/500,FEMALE,Associate,prof-specialty,basketball,wife,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,1,NO,1,2,NO,Mercedes,ML350,N
IL,250/500,MALE,College,protective-serv,reading,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,3,YES,2,2,YES,Audi,A3,N
IL,100/300,FEMALE,College,handlers-cleaners,dancing,wife,Parked Car,Rear Collision,Trivial Damage,Police,SC,Northbend,5279 Pine Ridge,1,NO,2,3,NO,Dodge,RAM,N
IL,500/1000,FEMALE,MD,adm-clerical,golf,not-in-family,Parked Car,Rear Collision,Minor Damage,None,WV,Northbend,8078 Britain Hwy,1,YES,1,0,NO,Nissan,Pathfinder,N
IN,250/500,MALE,High School,transport-moving,video-games,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,1133 Apache St,2,NO,1,0,NO,Accura,TL,N
IL,100/300,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,Vehicle Theft,Front Collision,Trivial Damage,Police,SC,Riverwood,2873 Flute Ave,1,NO,1,3,NO,Audi,A5,N
IL,100/300,MALE,Associate,handlers-cleaners,yachting,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,8509 Apache St,3,YES,1,2,NO,Honda,CRV,N
IL,100/300,MALE,College,sales,base-jumping,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,8245 4th Hwy,3,YES,0,2,NO,Jeep,Wrangler,N
IL,250/500,MALE,JD,transport-moving,camping,wife,Parked Car,Rear Collision,Trivial Damage,Police,NY,Columbus,3094 Best Lane,1,NO,0,2,NO,Ford,F150,N
IN,250/500,MALE,High School,priv-house-serv,bungie-jumping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,8188 Tree Ave,3,YES,0,0,NO,Accura,TL,N
OH,100/300,FEMALE,JD,handlers-cleaners,base-jumping,wife,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,5224 5th Lane,1,NO,2,1,YES,Honda,Accord,Y
IL,250/500,FEMALE,PhD,farming-fishing,kayaking,own-child,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,2230 1st St,1,NO,1,1,YES,Mercedes,ML350,Y
IN,250/500,FEMALE,Associate,protective-serv,cross-fit,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6719 Flute St,3,NO,1,2,YES,Nissan,Maxima,Y
OH,500/1000,MALE,Associate,machine-op-inspct,hiking,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,8064 4th Ave,3,NO,1,1,YES,Suburu,Legacy,N
IL,250/500,MALE,Masters,armed-forces,golf,husband,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,2469 Francis Lane,3,NO,2,2,NO,BMW,3 Series,N
OH,100/300,FEMALE,PhD,sales,dancing,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,4671 5th Ridge,3,NO,2,2,YES,Toyota,Camry,Y
IN,100/300,MALE,MD,sales,base-jumping,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,NO,0,3,NO,Honda,Accord,Y
OH,100/300,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,7791 Britain Ridge,1,NO,0,0,NO,Suburu,Legacy,N
OH,500/1000,MALE,PhD,protective-serv,board-games,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,3,NO,2,2,NO,Toyota,Corolla,N
IL,250/500,FEMALE,Masters,machine-op-inspct,golf,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3495 Britain Drive,3,YES,2,0,NO,BMW,X6,N
IL,500/1000,FEMALE,MD,transport-moving,bungie-jumping,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,2980 Sky Ridge,1,NO,2,1,NO,Nissan,Ultima,N
OH,500/1000,MALE,High School,exec-managerial,bungie-jumping,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,5914 Oak Ave,3,NO,1,3,NO,BMW,X5,N
IN,500/1000,FEMALE,Associate,adm-clerical,camping,wife,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,3835 5th Ave,3,YES,1,1,NO,Accura,MDX,N
IL,250/500,FEMALE,High School,transport-moving,yachting,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,5925 Tree Hwy,3,NO,1,0,NO,Toyota,Highlander,N
IN,500/1000,MALE,Associate,protective-serv,reading,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,6250 1st Ridge,1,YES,0,1,YES,Suburu,Forrestor,Y
IL,100/300,FEMALE,High School,sales,video-games,wife,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,1346 5th Lane,1,YES,0,2,YES,Toyota,Corolla,N
IN,250/500,MALE,JD,adm-clerical,polo,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,1128 Maple Lane,3,YES,0,3,YES,Dodge,RAM,N
IL,250/500,MALE,High School,handlers-cleaners,movies,husband,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,1,NO,1,2,YES,BMW,3 Series,N
OH,500/1000,FEMALE,Masters,priv-house-serv,board-games,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,4618 Flute Ave,3,NO,0,2,NO,Audi,A3,N
IL,250/500,MALE,College,exec-managerial,sleeping,not-in-family,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,6191 Oak Lane,2,YES,2,2,NO,Honda,CRV,Y
IL,500/1000,MALE,JD,tech-support,sleeping,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,1316 Britain Ridge,3,YES,1,1,YES,Nissan,Pathfinder,N
IL,100/300,FEMALE,High School,farming-fishing,bungie-jumping,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,5924 Maple Drive,3,YES,0,2,NO,Volkswagen,Jetta,N
IN,100/300,MALE,PhD,craft-repair,yachting,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,8917 Tree Ridge,3,YES,0,0,NO,Chevrolet,Tahoe,N
IN,250/500,MALE,MD,armed-forces,base-jumping,husband,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,3966 Francis Ridge,3,YES,0,2,YES,Audi,A3,Y
IN,250/500,MALE,PhD,protective-serv,board-games,own-child,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,1507 Solo Ave,1,NO,1,0,NO,Honda,CRV,Y
OH,500/1000,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,4272 Oak Ridge,1,NO,2,3,NO,Toyota,Camry,N
IL,500/1000,FEMALE,PhD,transport-moving,reading,husband,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,4434 Lincoln Ave,3,NO,1,3,NO,Nissan,Maxima,Y
IN,250/500,FEMALE,JD,tech-support,base-jumping,unmarried,Parked Car,Rear Collision,Trivial Damage,None,SC,Northbend,7529 Solo Ridge,1,NO,2,2,NO,Nissan,Ultima,N
IL,500/1000,FEMALE,MD,prof-specialty,reading,husband,Parked Car,Rear Collision,Trivial Damage,None,VA,Arlington,8096 Apache Hwy,1,NO,2,2,NO,Suburu,Legacy,N
OH,100/300,MALE,College,prof-specialty,hiking,wife,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,9417 Tree Hwy,1,NO,0,0,YES,Ford,Escape,N
IL,500/1000,FEMALE,JD,armed-forces,camping,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,3809 Texas Lane,1,NO,0,1,YES,BMW,3 Series,N
OH,250/500,MALE,College,armed-forces,sleeping,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,1540 Apache Lane,3,NO,2,1,NO,Chevrolet,Silverado,N
IL,500/1000,MALE,Associate,tech-support,camping,wife,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,2337 Lincoln Hwy,1,YES,2,0,NO,Dodge,RAM,N
IN,250/500,FEMALE,Associate,priv-house-serv,movies,husband,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,6770 1st St,1,NO,1,1,YES,Saab,92x,N
IN,500/1000,MALE,MD,priv-house-serv,video-games,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,4119 Texas St,3,NO,1,3,NO,Suburu,Forrestor,N
IL,100/300,FEMALE,JD,sales,cross-fit,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,4347 2nd Ridge,3,YES,2,2,NO,Audi,A3,Y
OH,100/300,FEMALE,Associate,craft-repair,movies,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,1091 1st Drive,1,YES,1,3,NO,BMW,3 Series,N
IL,250/500,MALE,College,armed-forces,skydiving,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,8203 Lincoln Ave,1,NO,2,2,YES,Suburu,Impreza,Y
IL,500/1000,MALE,Masters,protective-serv,sleeping,other-relative,Vehicle Theft,Rear Collision,Minor Damage,None,WV,Northbend,9154 MLK Hwy,1,NO,0,3,NO,Ford,Fusion,N
IN,100/300,FEMALE,Associate,tech-support,board-games,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,5780 4th Ave,1,NO,2,3,NO,Jeep,Grand Cherokee,Y
IN,100/300,MALE,PhD,transport-moving,hiking,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,6945 Texas Hwy,1,YES,0,2,YES,Jeep,Wrangler,N
OH,250/500,MALE,Associate,machine-op-inspct,skydiving,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,5639 1st Ridge,1,YES,2,0,YES,Suburu,Forrestor,N
IN,500/1000,FEMALE,PhD,handlers-cleaners,base-jumping,husband,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,3834 Pine St,1,NO,2,2,YES,Mercedes,E400,N
IL,100/300,MALE,JD,tech-support,cross-fit,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,1358 Maple St,3,YES,1,0,NO,Audi,A5,N
IL,100/300,FEMALE,MD,craft-repair,bungie-jumping,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,7460 Apache Lane,1,NO,1,3,NO,Accura,TL,Y
OH,500/1000,FEMALE,JD,tech-support,polo,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,5771 Sky Ave,1,YES,1,3,NO,Volkswagen,Jetta,N
IL,500/1000,FEMALE,Associate,machine-op-inspct,paintball,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,2865 Maple Lane,3,NO,1,0,NO,Audi,A3,Y
IN,100/300,FEMALE,High School,craft-repair,camping,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,8940 Elm Ave,1,NO,1,3,NO,Honda,CRV,N
OH,100/300,MALE,Masters,adm-clerical,skydiving,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,1215 Pine Hwy,1,NO,0,2,NO,Suburu,Forrestor,N
IN,500/1000,FEMALE,High School,adm-clerical,base-jumping,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,6874 Maple Ridge,3,YES,0,0,NO,Volkswagen,Passat,N
OH,100/300,FEMALE,MD,prof-specialty,golf,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,Hillsdale,8834 Elm Drive,1,NO,0,0,NO,Nissan,Ultima,N
IL,250/500,FEMALE,MD,craft-repair,paintball,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Columbus,8542 Lincoln Ridge,3,YES,1,1,YES,Ford,Fusion,N
OH,250/500,MALE,College,other-service,movies,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Springfield,9397 Francis St,3,YES,0,2,NO,Suburu,Impreza,N
IL,100/300,MALE,College,adm-clerical,yachting,wife,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Springfield,4907 Andromedia Drive,1,NO,1,3,NO,Jeep,Grand Cherokee,Y
OH,500/1000,MALE,PhD,priv-house-serv,basketball,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,4429 Washington St,1,NO,1,0,YES,Saab,93,N
IN,250/500,FEMALE,Associate,transport-moving,polo,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,OH,Columbus,2651 MLK Lane,3,YES,2,1,YES,Chevrolet,Tahoe,Y
IN,100/300,FEMALE,College,priv-house-serv,paintball,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbend,2942 1st Lane,3,YES,2,1,NO,Toyota,Highlander,Y
IN,100/300,MALE,MD,prof-specialty,polo,own-child,Parked Car,Rear Collision,Trivial Damage,None,VA,Arlington,6317 Best St,1,YES,0,2,NO,Saab,93,N
OH,100/300,FEMALE,Associate,sales,reading,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Northbend,1555 Washington Lane,3,NO,0,2,NO,Mercedes,ML350,Y
OH,500/1000,FEMALE,High School,adm-clerical,polo,own-child,Parked Car,Rear Collision,Minor Damage,Police,SC,Hillsdale,1919 4th Lane,1,NO,2,2,YES,Volkswagen,Passat,Y
IN,100/300,FEMALE,Masters,adm-clerical,chess,wife,Parked Car,Rear Collision,Minor Damage,None,NC,Arlington,5480 3rd Ridge,1,NO,0,0,NO,BMW,X5,Y
IL,250/500,FEMALE,Masters,exec-managerial,dancing,own-child,Vehicle Theft,Front Collision,Trivial Damage,None,SC,Northbrook,8864 Tree Ridge,1,NO,2,0,NO,Volkswagen,Passat,N
OH,500/1000,FEMALE,Associate,adm-clerical,hiking,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Northbend,2777 Solo Drive,1,NO,1,0,YES,Toyota,Highlander,N
IN,250/500,FEMALE,JD,craft-repair,yachting,wife,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,Northbend,9929 Rock Drive,1,YES,0,2,NO,Accura,TL,Y
IL,500/1000,MALE,PhD,exec-managerial,hiking,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Northbend,4143 Maple Ridge,4,YES,0,1,NO,Dodge,RAM,N
IN,100/300,MALE,High School,protective-serv,exercise,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Other,NC,Columbus,7121 Rock St,3,YES,2,1,NO,Saab,93,N
OH,500/1000,FEMALE,PhD,farming-fishing,dancing,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Riverwood,9067 Texas Ave,2,NO,1,2,YES,Honda,Accord,N
IL,500/1000,FEMALE,PhD,sales,video-games,husband,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Hillsdale,9245 Weaver Ridge,1,NO,1,3,NO,Suburu,Forrestor,N
OH,250/500,FEMALE,JD,armed-forces,base-jumping,wife,Parked Car,Rear Collision,Minor Damage,None,WV,Arlington,4585 Francis Ave,1,YES,1,2,NO,Honda,Civic,Y
IL,500/1000,MALE,College,transport-moving,chess,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,6738 Francis Hwy,4,NO,0,0,YES,Suburu,Forrestor,N
IL,250/500,FEMALE,Masters,sales,reading,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,NY,Springfield,7576 Pine Ridge,3,NO,1,0,YES,Volkswagen,Jetta,N
OH,500/1000,FEMALE,Associate,craft-repair,exercise,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,9105 Tree Lane,1,NO,1,0,NO,Dodge,Neon,N
OH,100/300,MALE,JD,other-service,polo,not-in-family,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Northbrook,2299 Britain Drive,1,NO,1,2,NO,Toyota,Corolla,N
IN,100/300,MALE,JD,transport-moving,sleeping,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Springfield,1914 Francis St,3,NO,2,0,NO,Audi,A3,N
OH,100/300,MALE,College,other-service,reading,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,6658 Weaver St,3,NO,1,2,NO,Mercedes,E400,Y
IN,250/500,FEMALE,Associate,craft-repair,sleeping,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,1985 5th Ave,3,NO,1,3,NO,Audi,A5,N
IL,500/1000,FEMALE,PhD,exec-managerial,base-jumping,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Springfield,1707 Sky Ave,1,YES,1,3,NO,Chevrolet,Malibu,N
OH,250/500,MALE,PhD,exec-managerial,golf,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,6456 Andromedia Drive,3,NO,0,2,YES,Nissan,Ultima,Y
IL,250/500,MALE,JD,armed-forces,chess,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,5649 Texas Ave,1,YES,0,1,YES,BMW,3 Series,Y
IL,250/500,FEMALE,Masters,protective-serv,board-games,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Riverwood,1220 MLK Ave,1,NO,2,2,YES,Audi,A5,N
OH,500/1000,MALE,High School,prof-specialty,base-jumping,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Northbend,1589 Pine St,3,NO,1,0,YES,Ford,F150,N
OH,250/500,FEMALE,College,other-service,paintball,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Northbrook,8906 Elm Lane,1,NO,0,1,NO,Mercedes,E400,N
IN,500/1000,MALE,Associate,machine-op-inspct,camping,wife,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Hillsdale,2654 Elm Drive,1,NO,1,2,NO,Honda,Accord,N
OH,100/300,MALE,JD,machine-op-inspct,base-jumping,wife,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,6681 Texas Ridge,3,YES,0,1,NO,Nissan,Ultima,N
OH,500/1000,FEMALE,JD,priv-house-serv,sleeping,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,7782 Rock St,1,YES,1,2,NO,Suburu,Legacy,N
IL,100/300,FEMALE,JD,exec-managerial,golf,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,9286 Oak Ave,1,YES,0,2,NO,Saab,92x,N
IN,250/500,MALE,PhD,exec-managerial,golf,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Arlington,8758 5th St,3,NO,0,0,NO,Toyota,Highlander,N
OH,100/300,FEMALE,High School,prof-specialty,board-games,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NY,Columbus,7281 Maple Hwy,3,NO,2,1,NO,Saab,95,N
OH,250/500,MALE,MD,exec-managerial,video-games,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,7571 Elm Ridge,3,NO,1,2,NO,Volkswagen,Jetta,N
IN,500/1000,MALE,High School,farming-fishing,reading,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,6738 Washington Hwy,4,NO,2,2,NO,Accura,TL,Y
OH,250/500,FEMALE,PhD,machine-op-inspct,video-games,not-in-family,Vehicle Theft,Rear Collision,Minor Damage,None,SC,Northbend,4188 Britain Ave,1,YES,2,0,NO,Accura,MDX,N
IN,100/300,MALE,High School,protective-serv,exercise,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Riverwood,6934 Lincoln Ave,1,NO,1,0,NO,Ford,Fusion,N
IN,100/300,MALE,Masters,adm-clerical,dancing,wife,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Hillsdale,6390 Apache St,1,YES,0,2,YES,Jeep,Grand Cherokee,N
OH,250/500,FEMALE,High School,prof-specialty,dancing,unmarried,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,Columbus,7615 Weaver Drive,1,NO,0,1,YES,Saab,95,N
IN,100/300,MALE,MD,armed-forces,exercise,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Columbus,6409 Cherokee Drive,1,NO,1,0,YES,Chevrolet,Malibu,N
OH,250/500,FEMALE,Masters,priv-house-serv,video-games,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Springfield,1123 5th Lane,2,YES,1,3,NO,Jeep,Wrangler,N
IL,500/1000,MALE,MD,transport-moving,base-jumping,own-child,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,5168 5th Ave,1,YES,1,0,NO,Ford,Escape,N
IN,100/300,FEMALE,College,craft-repair,skydiving,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Columbus,3697 Apache Drive,3,YES,2,0,NO,Mercedes,C300,Y
IN,100/300,MALE,Associate,sales,skydiving,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Northbend,1910 Sky Ave,1,NO,0,2,NO,Audi,A5,N
OH,500/1000,FEMALE,College,armed-forces,cross-fit,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Riverwood,8954 Apache Lane,1,NO,1,3,NO,Chevrolet,Silverado,Y
IN,100/300,FEMALE,College,transport-moving,skydiving,wife,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3110 Lincoln Lane,3,NO,2,3,NO,Honda,Civic,N
OH,500/1000,MALE,MD,adm-clerical,exercise,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,WV,Arlington,6035 Rock Ave,3,NO,0,3,YES,Toyota,Corolla,N
IN,500/1000,FEMALE,High School,machine-op-inspct,sleeping,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Hillsdale,2220 1st Lane,3,NO,0,0,NO,Suburu,Forrestor,N
OH,250/500,MALE,Masters,exec-managerial,camping,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,Riverwood,4972 Francis Lane,1,NO,1,3,YES,Chevrolet,Silverado,N
OH,250/500,FEMALE,College,exec-managerial,cross-fit,unmarried,Vehicle Theft,Rear Collision,Trivial Damage,None,NC,Springfield,6957 Weaver Drive,1,NO,2,3,NO,Ford,Escape,N
IN,100/300,FEMALE,Associate,adm-clerical,polo,not-in-family,Parked Car,Rear Collision,Minor Damage,None,WV,Northbrook,1512 Rock Lane,1,NO,0,3,NO,BMW,M5,N
OH,250/500,FEMALE,High School,machine-op-inspct,video-games,not-in-family,Parked Car,Front Collision,Trivial Damage,Police,SC,Arlington,3693 Pine Ave,1,YES,2,0,YES,BMW,3 Series,N
OH,250/500,FEMALE,College,farming-fishing,camping,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,9879 Apache Drive,3,NO,2,2,NO,Chevrolet,Tahoe,N
